"","id","lower","odds_ratio","upper","patient_no"
"1",1,0.09715,0.15279,1.69873,23
"2",2,0.11226,0.45823,1.92539,42
"3",3,0.67368,1.41458,3.02811,167
"4",4,0.43668,0.61772,0.89945,730
"5",5,0.63584,1.23609,2.37996,426
"6",6,0.50458,1.00968,1.98185,321
"7",7,0.42835,0.74899,1.29709,517
"8",8,0.17826,0.37793,0.76356,206
"9",9,0.6237,2.546,9.90412,107
"10",10,0.28306,0.95297,3.11691,108
"11",11,0.38158,1.05951,2.83063,91
"12",12,0.29136,3.20831,9.90412,23
"13",13,0.55561,0.89945,1.47016,595
"14",14,0.3567,0.55561,0.86544,728
"15",15,0.33344,0.6237,1.1444,230
"16",16,0.1,0.22247,2.49741,24
"17",17,0.78595,1.18936,1.8526,483
"18",18,0.19628,0.76356,2.99908,58
"19",19,0.29136,0.55561,1.03929,315
"20",20,0.59437,0.86544,1.24806,1741
"21",21,0.71377,0.80125,0.90815,11712
"22",22,0.10097,0.40429,4.76238,52
"23",23,0.1,0.1,1.20088,59
"24",24,0.1,0.29136,3.17755,38
"25",25,0.1,1.09058,10,44
"26",26,0.10801,0.46715,2.00104,98
"27",27,0.11894,0.58867,2.8857,64
"28",28,0.1,0.15727,0.72068,219
"29",29,0.15727,0.5719,2.09979,107
"30",30,0.1,0.41216,5.24403,25
"31",31,0.29418,0.6237,1.34805,368
"32",32,0.67368,0.7347,0.82474,17187
"33",33,0.1,0.20204,1.1444,66
"34",34,0.72068,0.74899,0.809,36974
